time_s,used_mb,total_mb,source
0.019202,19281.250000,32607.000000,nvml
0.019396,19281.250000,32607.000000,nvml
0.022532,19281.250000,32607.000000,nvml
0.023373,19281.250000,32607.000000,nvml
0.211666,19281.250000,32607.000000,nvml
0.224679,19281.250000,32607.000000,nvml
0.435371,19281.250000,32607.000000,nvml
0.645667,19281.250000,32607.000000,nvml
0.851016,19281.250000,32607.000000,nvml
0.991916,19281.250000,32607.000000,nvml
1.002377,19281.250000,32607.000000,nvml
1.003017,19281.250000,32607.000000,nvml
1.051165,19281.250000,32607.000000,nvml
1.257305,19281.250000,32607.000000,nvml
1.457672,19281.250000,32607.000000,nvml
1.657847,19281.250000,32607.000000,nvml
1.858051,19281.250000,32607.000000,nvml
2.058275,19281.250000,32607.000000,nvml
2.256058,19281.250000,32607.000000,nvml
2.258571,19281.250000,32607.000000,nvml
2.461849,19281.250000,32607.000000,nvml
2.662011,19281.250000,32607.000000,nvml
2.862169,19281.250000,32607.000000,nvml
3.064846,19281.250000,32607.000000,nvml
3.267842,19281.250000,32607.000000,nvml
3.467998,19281.250000,32607.000000,nvml
3.668154,19281.250000,32607.000000,nvml
3.868308,19281.250000,32607.000000,nvml
4.068460,19281.250000,32607.000000,nvml
4.268616,19281.250000,32607.000000,nvml
4.468769,19281.250000,32607.000000,nvml
4.668959,19281.250000,32607.000000,nvml
4.869113,19281.250000,32607.000000,nvml
5.079699,19281.250000,32607.000000,nvml
5.087478,19281.250000,32607.000000,nvml
5.280065,19281.250000,32607.000000,nvml
5.480276,19281.250000,32607.000000,nvml
5.680367,19281.250000,32607.000000,nvml
5.880552,19281.250000,32607.000000,nvml
6.080769,19281.250000,32607.000000,nvml
6.281015,19281.250000,32607.000000,nvml
6.481216,19281.250000,32607.000000,nvml
6.681477,19281.250000,32607.000000,nvml
7.022773,19281.250000,32607.000000,nvml
7.223935,19281.250000,32607.000000,nvml
7.431603,19281.250000,32607.000000,nvml
7.637507,19281.250000,32607.000000,nvml
7.838485,19281.250000,32607.000000,nvml
8.040983,19281.250000,32607.000000,nvml
8.241921,19281.250000,32607.000000,nvml
8.444671,19281.250000,32607.000000,nvml
8.649144,19281.250000,32607.000000,nvml
8.850950,19281.250000,32607.000000,nvml
9.053666,19281.250000,32607.000000,nvml
9.258553,19281.250000,32607.000000,nvml
9.460196,19281.250000,32607.000000,nvml
9.661523,19281.250000,32607.000000,nvml
9.863581,19281.250000,32607.000000,nvml
10.064218,19281.250000,32607.000000,nvml
10.266150,19281.250000,32607.000000,nvml
10.467387,19281.250000,32607.000000,nvml
10.669055,19281.250000,32607.000000,nvml
10.871736,19281.250000,32607.000000,nvml
11.073879,19281.250000,32607.000000,nvml
11.275266,19281.250000,32607.000000,nvml
11.476379,19281.250000,32607.000000,nvml
11.729342,19281.250000,32607.000000,nvml
11.945265,19281.250000,32607.000000,nvml
12.147784,19281.250000,32607.000000,nvml
12.351535,19281.250000,32607.000000,nvml
12.553853,19281.250000,32607.000000,nvml
12.756591,19281.250000,32607.000000,nvml
12.957696,19281.250000,32607.000000,nvml
13.158597,19281.250000,32607.000000,nvml
13.358801,19281.250000,32607.000000,nvml
13.582354,19281.250000,32607.000000,nvml
13.785057,19281.250000,32607.000000,nvml
13.987066,19281.250000,32607.000000,nvml
14.027951,19281.250000,32607.000000,nvml
14.187356,19281.250000,32607.000000,nvml
